,Lx,Ysz,T,R,Lbcg
0,0,-70,-50,-70,-40
1,0,-60,-50,-70,-40
2,10,-80,-50,-70,-40
3,10,-70,-50,-70,-50
4,10,-70,-50,-70,-40
5,10,-70,-50,-70,-30
6,10,-60,-50,-70,-40
7,10,-60,-50,-70,-30
8,10,-60,-50,-60,-40
9,10,-60,-50,-60,-30
10,10,-70,-40,-70,-30
11,10,-70,-40,-60,-30
12,10,-60,-40,-70,-40
13,10,-60,-40,-70,-30
14,10,-60,-40,-70,-20
15,10,-60,-40,-60,-40
16,10,-60,-40,-60,-30
17,10,-60,-40,-60,-20
18,10,-50,-40,-70,-40
19,10,-50,-40,-70,-30
20,10,-50,-40,-70,-20
21,10,-50,-40,-60,-40
22,10,-50,-40,-60,-30
23,10,-50,-40,-60,-20
24,10,-50,-40,-60,-10
25,10,-40,-40,-60,-30
26,10,-40,-40,-60,-20
27,10,-60,-30,-60,-20
28,10,-50,-30,-60,-30
29,10,-50,-30,-60,-20
30,10,-50,-30,-60,-10
31,10,-40,-30,-60,-30
32,10,-40,-30,-60,-20
33,10,-40,-30,-60,-10
34,10,-30,-30,-60,-20
35,10,-30,-30,-60,-10
36,20,-80,-50,-70,-40
37,20,-70,-50,-70,-50
38,20,-70,-50,-70,-40
39,20,-70,-50,-70,-30
40,20,-70,-50,-60,-40
41,20,-70,-50,-60,-30
42,20,-60,-50,-70,-50
43,20,-60,-50,-70,-40
44,20,-60,-50,-70,-30
45,20,-60,-50,-70,-20
46,20,-60,-50,-60,-40
47,20,-60,-50,-60,-30
48,20,-60,-50,-60,-20
49,20,-50,-50,-70,-40
50,20,-50,-50,-70,-30
51,20,-50,-50,-60,-30
52,20,-70,-40,-70,-40
53,20,-70,-40,-70,-30
54,20,-70,-40,-60,-40
55,20,-70,-40,-60,-30
56,20,-70,-40,-60,-20
57,20,-60,-40,-70,-40
58,20,-60,-40,-70,-30
59,20,-60,-40,-70,-20
60,20,-60,-40,-60,-40
61,20,-60,-40,-60,-30
62,20,-60,-40,-60,-20
63,20,-60,-40,-60,-10
64,20,-50,-40,-70,-40
65,20,-50,-40,-70,-30
66,20,-50,-40,-70,-20
67,20,-50,-40,-70,-10
68,20,-50,-40,-60,-40
69,20,-50,-40,-60,-30
70,20,-50,-40,-60,-20
71,20,-50,-40,-60,-10
72,20,-40,-40,-70,-30
73,20,-40,-40,-70,-20
74,20,-40,-40,-60,-40
75,20,-40,-40,-60,-30
76,20,-40,-40,-60,-20
77,20,-40,-40,-60,-10
78,20,-60,-30,-60,-30
79,20,-60,-30,-60,-20
80,20,-60,-30,-60,-10
81,20,-50,-30,-70,-30
82,20,-50,-30,-70,-20
83,20,-50,-30,-60,-40
84,20,-50,-30,-60,-30
85,20,-50,-30,-60,-20
86,20,-50,-30,-60,-10
87,20,-50,-30,-60,0
88,20,-40,-30,-70,-30
89,20,-40,-30,-70,-20
90,20,-40,-30,-70,-10
91,20,-40,-30,-60,-40
92,20,-40,-30,-60,-30
93,20,-40,-30,-60,-20
94,20,-40,-30,-60,-10
95,20,-40,-30,-60,0
96,20,-30,-30,-60,-30
97,20,-30,-30,-60,-20
98,20,-30,-30,-60,-10
99,20,-30,-30,-60,0
100,20,-20,-30,-60,-20
101,20,-20,-30,-60,-10
102,20,-40,-20,-60,-20
103,20,-40,-20,-60,-10
104,20,-40,-20,-60,0
105,20,-30,-20,-60,-20
106,20,-30,-20,-60,-10
107,20,-30,-20,-60,0
108,20,-20,-20,-60,-20
109,20,-20,-20,-60,-10
110,20,-20,-20,-60,0
111,30,-70,-50,-70,-50
112,30,-70,-50,-70,-40
